Date,Open,High,Low,Close,Volume
5-Dec-16,40.02,40.39,39.85,40.20,4408407
2-Dec-16,39.77,40.32,39.58,40.07,8588544
1-Dec-16,41.00,41.04,39.53,39.63,12624139
30-Nov-16,41.62,41.67,40.88,41.02,7644360
29-Nov-16,41.43,41.83,41.12,41.60,13085981
28-Nov-16,40.85,41.70,40.74,41.45,6836364
25-Nov-16,41.08,41.08,40.71,40.87,2586908
23-Nov-16,40.91,40.98,40.54,40.96,3719257
22-Nov-16,41.20,41.40,40.83,41.01,8881541
21-Nov-16,41.44,41.48,40.94,41.11,11355856
18-Nov-16,41.48,41.65,40.90,41.19,8138928
17-Nov-16,41.34,41.65,41.20,41.45,8692013
16-Nov-16,40.10,41.05,40.10,40.98,15609553
15-Nov-16,39.61,40.45,39.58,40.21,13364918
14-Nov-16,40.36,40.39,38.87,39.30,12692293
11-Nov-16,39.84,40.52,39.37,40.42,15178907
10-Nov-16,41.55,41.65,39.54,40.16,16443786
9-Nov-16,40.44,41.39,40.22,41.21,24000065
8-Nov-16,40.97,41.28,40.68,41.16,4229743
7-Nov-16,41.17,41.23,40.86,41.05,5430744
4-Nov-16,39.96,40.67,39.80,40.28,4579437
3-Nov-16,40.62,40.75,40.18,40.23,8112820
2-Nov-16,41.80,42.16,40.36,40.68,13019956
1-Nov-16,41.13,41.34,40.69,41.33,11751521
31-Oct-16,42.03,42.16,41.55,41.55,3749658
28-Oct-16,42.03,42.22,41.71,41.78,6197469
27-Oct-16,42.31,42.49,41.81,41.87,7240848
26-Oct-16,42.26,42.44,41.95,42.08,6123026
25-Oct-16,42.72,42.75,42.43,42.55,5338875
24-Oct-16,42.50,42.68,42.38,42.59,4346851
21-Oct-16,42.10,42.20,41.73,42.17,7194168
20-Oct-16,42.69,42.69,42.07,42.38,11671022
19-Oct-16,42.30,42.94,42.26,42.73,14532469
18-Oct-16,42.04,42.60,41.63,41.68,19360802
17-Oct-16,41.35,41.94,41.24,41.79,8620369
14-Oct-16,42.04,42.25,41.40,41.44,7781258
13-Oct-16,42.00,42.08,41.17,41.62,15689711
